Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Brasov,Cerc 3,Apata,Negre,Da,11
01,Arad,Cerc 3,Apateu,Negre,Da,12
01,Bihor,Cerc 1,Apateu,Negre,Da,2
01,Bistrita-Nasaud,Cerc 3,Apatiu,Negre,Da,2
01,Heves,Resedinta,Apc,Negre,Da,1
01,Dolj,Cerc 1,Apele Vii,Negre,Da,7
01,Mures,Cerc 3,Apold,Negre,Da,5
01,Sibiu,Cerc 3,Apoldu de Jos,Negre,Da,6
01,Sibiu,Cerc 3,Apoldu de Sus,Negre,Da,12
01,Sibiu,Cerc 3,Apos,Negre,Da,2
01,Bács-Kiskun,Resedinta,Apostag,Negre,Da,1
01,Prahova,Cerc 3,Apostolache,Negre,Da,6
01,Calarasi,Cerc 3,Aprozi,Negre,Da,3
01,Covasna,Cerc 1,Araci,Negre,Da,3
01,Arad,Resedinta,Arad,Negre,Da,"4,180"
01,Iasi,Cerc 3,Arama,Negre,Da,1
01,Arad,Cerc 3,Araneag,Negre,Da,2
01,Valcea,Cerc 1,Aranghel,Negre,Da,1
01,Szabolcs-Szatmár-Bereg,Resedinta,Aranyosapáti,Negre,Da,3
01,Suceava,Cerc 1,Arbore,Negre,Da,82
01,Botosani,Cerc 1,Arborea,Negre,Da,3
01,Bistrita-Nasaud,Cerc 1,Arcalia,Negre,Da,8
01,Buzau,Cerc 3,Arcanu,Negre,Da,2
01,Hunedoara,Cerc 1,Archia,Negre,Da,1
01,Salaj,Cerc 1,Archid,Negre,Da,3
01,Arad,Cerc 3,Archis,Negre,Da,3
01,Mures,Cerc 3,Archita,Negre,Da,4
01,Bistrita-Nasaud,Cerc 3,Archiud,Negre,Da,5
01,Covasna,Cerc 1,Arcus,Negre,Da,12
01,Bistrita-Nasaud,Cerc 1,Ardan,Negre,Da,3
01,Bacau,Cerc 1,Ardeoani,Negre,Da,11
01,Cluj,Cerc 1,Ardeova,Negre,Da,2
01,Satu Mare,Cerc 1,Ardud,Negre,Da,49
01,Maramures,Cerc 1,Ardusat,Negre,Da,10
01,Maramures,Cerc 3,Arduzel,Negre,Da,1
01,Arges,Cerc 3,Arefu,Negre,Da,4
01,Vrancea,Cerc 3,Argea,Negre,Da,3
01,Suceava,Cerc 3,Argel,Negre,Da,8
01,Arges,Cerc 1,Argesani,Negre,Da,1
01,Arges,Cerc 1,Argeselu,Negre,Da,9
01,Suceava,Cerc 3,Argestru,Negre,Da,2
01,Dolj,Cerc 3,Argetoaia,Negre,Da,13
01,Suceava,Cerc 3,Arghira,Negre,Da,4
01,Cluj,Cerc 3,Arghisu,Negre,Da,1
01,Mehedinti,Cerc 3,Arginesti,Negre,Da,1
01,Prahova,Cerc 1,Aricestii Rahtivani,Negre,Da,113
01,Prahova,Cerc 3,Aricestii Zeletin,Negre,Da,2
01,Alba,Cerc 3,Arieseni,Negre,Da,6
01,Maramures,Cerc 1,Ariesu de Camp,Negre,Da,2
01,Maramures,Cerc 1,Ariesu de Padure,Negre,Da,1
01,Bacau,Cerc 3,Arini,Negre,Da,7
01,Brasov,Cerc 3,Arini,Negre,Da,5
01,Maramures,Cerc 1,Arinis,Negre,Da,1
01,Prahova,Cerc 1,Arionestii Vechi,Negre,Da,2
01,Covasna,Cerc 1,Ariusd,Negre,Da,1
01,Gorj,Cerc 1,Arjoci,Negre,Da,2
01,Borsod-Abaúj-Zemplén,Resedinta,Arló,Negre,Da,2
01,Harghita,Cerc 1,Armaseni,Negre,Da,4
01,Valcea,Cerc 3,Armasesti,Negre,Da,3
01,Ialomita,Cerc 3,Armasesti,Negre,Da,1
